CNPJ,SEQUENCIAL_DO_CNPJ,DV_DO_CNPJ,NOME_INSTITUIÇÃO,SEGMENTO,CÓD_COMPE_AG,NOME_AGÊNCIA,ENDEREÇO,NÚMERO,COMPLEMENTO,BAIRRO,CEP,MUNICíPIO,UF,DATA_INÍCIO,DDD,FONE,ID_INSTALAÇÃO,ID_INSTALAÇÃO_ESTBAN,MUNICIPIO_IBGE
00.000.000,2.0,72.0,BANCO DO BRASIL S.A.,Banco do Brasil - Banco Múltiplo,2.0,MANAUS,R.GUILHERME MOREIRA315,,SUBLOJALOJA E 2.ANDAR,CENTRO,69005-300,MANAUS,AM,1908-01-14 00:00:00,92.0,36215500.0,9999994472.0,A9994472,1302603.0
00.000.000,3.0,53.0,BANCO DO BRASIL S.A.,Banco do Brasil - Banco Múltiplo,3.0,PRESIDENTE VARGAS,AV.PRES.VARGAS248,,1.E 2.ANDARES,CAMPINA,66010-900,BELEM,PA,1908-07-01 00:00:00,91.0,32164888.0,9999994471.0,A9994471,1501402.0
00.000.000,4.0,34.0,BANCO DO BRASIL S.A.,Banco do Brasil - Banco Múltiplo,4.0,SANTOS,R.QUINZE DE NOVEMBRO195,,,CENTRO,11010-908,SANTOS,SP,1908-08-22 00:00:00,13.0,40097406.0,9999994470.0,A9994470,3548500.0
00.000.000,5.0,15.0,BANCO DO BRASIL S.A.,Banco do Brasil - Banco Múltiplo,5.0,CAMPOS GOYTACAZES,RUA QUARTA DA JORNADA,11,PRACA DAS 04 JORNADAS,CENTRO,28010-510,CAMPOS DOS GOYTACAZES,RJ,1910-06-26 00:00:00,22.0,27370405.0,9999994469.0,A9994469,3301009.0
00.000.000,6.0,4.0,BANCO DO BRASIL S.A.,Banco do Brasil - Banco Múltiplo,6.0,SALVADOR,SEXTA AVENIDA600,,SECRETARIA DA EDUCACAO-TERREO,CAB,41745-002,SALVADOR,BA,1910-07-15 00:00:00,71.0,33628803.0,9999994468.0,A9994468,2927408.0
00.000.000,7.0,87.0,BANCO DO BRASIL S.A.,Banco do Brasil - Banco Múltiplo,7.0,RECIFE,AV.RIO BRANCO240,,1.ANDAR,RECIFE ANTIGO,50030-310,RECIFE,PE,1913-08-12 00:00:00,81.0,34257530.0,9999994467.0,A9994467,2611606.0
00.000.000,8.0,68.0,BANCO DO BRASIL S.A.,Banco do Brasil - Banco Múltiplo,8.0,SETOR PUBLICO CE,AV.SANTOS DUMONT2828,,5.ANDAR,ALDEOTA,60150-162,FORTALEZA,CE,1913-08-14 00:00:00,85.0,33660800.0,9999994466.0,A9994466,2304400.0
00.000.000,9.0,49.0,BANCO DO BRASIL S.A.,Banco do Brasil - Banco Múltiplo,9.0,PRACA TIRADENTES-PR,PCA.TIRADENTES410,,1.ANDAR,CENTRO,80020-100,CURITIBA,PR,1916-01-07 00:00:00,41.0,33212439.0,9999994465.0,A9994465,4106902.0
00.000.000,10.0,82.0,BANCO DO BRASIL S.A.,Banco do Brasil - Banco Múltiplo,10.0,EMPRESA PORTO ALEGRE,R.URUGUAI185,,5.ANDAR,CENTRO,90010-901,PORTO ALEGRE,RS,1916-03-01 00:00:00,51.0,32147890.0,9999994464.0,A9994464,4314902.0
00.000.000,11.0,63.0,BANCO DO BRASIL S.A.,Banco do Brasil - Banco Múltiplo,11.0,EMPRESA JOAO PESSOA,AVENIDA PRESIDENTE EPITACIO PESSOA,1580,EM FRENTE À RECEITA FEDERAL,TORRE,58040-900,JOAO PESSOA,PB,1916-04-01 00:00:00,83.0,40033001.0,9999994463.0,A9994463,2507507.0
00.000.000,12.0,44.0,BANCO DO BRASIL S.A.,Banco do Brasil - Banco Múltiplo,12.0,TRES CORACOES,PCA.ODILON RESENDE ANDRADE76,,,CENTRO,37410-000,TRES CORACOES,MG,1916-07-05 00:00:00,35.0,32321155.0,9999994462.0,A9994462,3169307.0
00.000.000,13.0,25.0,BANCO DO BRASIL S.A.,Banco do Brasil - Banco Múltiplo,13.0,MACEIO,AV FERNANDES LIMA 2591,,TERREO,FAROL,57057-972,MACEIO,AL,1916-07-24 00:00:00,82.0,31942750.0,9999994461.0,A9994461,2704302.0
00.000.000,14.0,6.0,BANCO DO BRASIL S.A.,Banco do Brasil - Banco Múltiplo,14.0,CORUMBA,R.TREZE DE JUNHO914,,,CENTRO,79300-040,CORUMBA,MS,1916-07-25 00:00:00,67.0,32312686.0,9999994460.0,A9994460,5003207.0
00.000.000,15.0,97.0,BANCO DO BRASIL S.A.,Banco do Brasil - Banco Múltiplo,15.0,UBERABA,AV.LEOPOLDINO DE OLIVEIRA3635,,,CENTRO,38010-000,UBERABA,MG,1916-08-10 00:00:00,34.0,40033001.0,9999994459.0,A9994459,3170107.0
00.000.000,16.0,78.0,BANCO DO BRASIL S.A.,Banco do Brasil - Banco Múltiplo,16.0,FLORIANOPOLIS,PCA.QUINZE DE NOVEMBRO321,,,CENTRO,88010-400,FLORIANOPOLIS,SC,1916-09-15 00:00:00,48.0,32211600.0,9999994458.0,A9994458,4205407.0
