CNPJ,SEQUENCIAL_DO_CNPJ,DV_DO_CNPJ,NOME_INSTITUIÇÃO,SEGMENTO,CÓD_COMPE_AG,NOME_AGÊNCIA,ENDEREÇO,NÚMERO,COMPLEMENTO,BAIRRO,CEP,MUNICíPIO,UF,DATA_INÍCIO,DDD,FONE,ID_INSTALAÇÃO,ID_INSTALAÇÃO_ESTBAN,MUNICIPIO_IBGE
00.000.000,2,72,BANCO DO BRASIL S.A.,Banco do Brasil - Banco Multiplo,2,MANAUS,R.GUILHERME MOREIRA 315,,SUBLOJA LOJA E 2.ANDAR,CENTRO,69005-300,MANAUS,AM,1908-01-14 00:00:00,92,36215500,9999994472,A9994472,1302603
00.000.000,3,53,BANCO DO BRASIL S.A.,Banco do Brasil - Banco Multiplo,3,PRESIDENTE VARGAS,AV.PRES.VARGAS 248,,1.E 2.ANDARES,CAMPINA,66010-900,BELEM,PA,1908-07-01 00:00:00,91,32164888,9999994471,A9994471,1501402
00.000.000,4,34,BANCO DO BRASIL S.A.,Banco do Brasil - Banco Multiplo,4,SANTOS,R.QUINZE DE NOVEMBRO 195,,,CENTRO,11010-908,SANTOS,SP,1908-08-22 00:00:00,13,40097406,9999994470,A9994470,3548500
00.000.000,5,15,BANCO DO BRASIL S.A.,Banco do Brasil - Banco Multiplo,5,CAMPOS GOYTACAZES,RUA QUARTA DA JORNADA,11,PRACA DAS 04 JORNADAS,CENTRO,28010-510,CAMPOS DOS GOYTACAZES,RJ,1910-06-26 00:00:00,22,27370405,9999994469,A9994469,3301009
00.000.000,6,4,BANCO DO BRASIL S.A.,Banco do Brasil - Banco Multiplo,6,SALVADOR,SEXTA AVENIDA 600,,SECRETARIA DA EDUCACAO-TERREO,CAB,41745-002,SALVADOR,BA,1910-07-15 00:00:00,71,33628803,9999994468,A9994468,2927408
00.000.000,7,87,BANCO DO BRASIL S.A.,Banco do Brasil - Banco Multiplo,7,RECIFE,AV.RIO BRANCO 240,,1.ANDAR,RECIFE ANTIGO,50030-310,RECIFE,PE,1913-08-12 00:00:00,81,34257530,9999994467,A9994467,2611606
00.000.000,8,68,BANCO DO BRASIL S.A.,Banco do Brasil - Banco Multiplo,8,SETOR PUBLICO CE,AV.SANTOS DUMONT 2828,,5.ANDAR,ALDEOTA,60150-162,FORTALEZA,CE,1913-08-14 00:00:00,85,33660800,9999994466,A9994466,2304400
00.000.000,9,49,BANCO DO BRASIL S.A.,Banco do Brasil - Banco Multiplo,9,PRACA TIRADENTES-PR,PCA.TIRADENTES 410,,1.ANDAR,CENTRO,80020-100,CURITIBA,PR,1916-01-07 00:00:00,41,33212439,9999994465,A9994465,4106902
00.000.000,10,82,BANCO DO BRASIL S.A.,Banco do Brasil - Banco Multiplo,10,EMPRESA PORTO ALEGRE,R.URUGUAI 185,,5.ANDAR,CENTRO,90010-901,PORTO ALEGRE,RS,1916-03-01 00:00:00,51,32147890,9999994464,A9994464,4314902
00.000.000,11,63,BANCO DO BRASIL S.A.,Banco do Brasil - Banco Multiplo,11,EMPRESA JOAO PESSOA,AVENIDA PRESIDENTE EPITACIO PESSOA,1580,EM FRENTE A RECEITA FEDERAL,TORRE,58040-900,JOAO PESSOA,PB,1916-04-01 00:00:00,83,40033001,9999994463,A9994463,2507507
00.000.000,12,44,BANCO DO BRASIL S.A.,Banco do Brasil - Banco Multiplo,12,TRES CORACOES,PCA.ODILON RESENDE ANDRADE 76,,,CENTRO,37410-000,TRES CORACOES,MG,1916-07-05 00:00:00,35,32321155,9999994462,A9994462,3169307
00.000.000,13,25,BANCO DO BRASIL S.A.,Banco do Brasil - Banco Multiplo,13,MACEIO,AV FERNANDES LIMA  2591,,TERREO,FAROL,57057-972,MACEIO,AL,1916-07-24 00:00:00,82,31942750,9999994461,A9994461,2704302
00.000.000,14,6,BANCO DO BRASIL S.A.,Banco do Brasil - Banco Multiplo,14,CORUMBA,R.TREZE DE JUNHO 914,,,CENTRO,79300-040,CORUMBA,MS,1916-07-25 00:00:00,67,32312686,9999994460,A9994460,5003207
00.000.000,15,97,BANCO DO BRASIL S.A.,Banco do Brasil - Banco Multiplo,15,UBERABA,AV.LEOPOLDINO DE OLIVEIRA 3635,,,CENTRO,38010-000,UBERABA,MG,1916-08-10 00:00:00,34,40033001,9999994459,A9994459,3170107
00.000.000,16,78,BANCO DO BRASIL S.A.,Banco do Brasil - Banco Multiplo,16,FLORIANOPOLIS,PCA.QUINZE DE NOVEMBRO 321,,,CENTRO,88010-400,FLORIANOPOLIS,SC,1916-09-15 00:00:00,48,32211600,9999994458,A9994458,4205407
00.000.000,18,30,BANCO DO BRASIL S.A.,Banco do Brasil - Banco Multiplo,18,SAO PAULO,R.SAO BENTO,465,ESQUINA COM A AV. SAO JOAO E RUA SAO BENTO,CENTRO,01011-100,SAO PAULO,SP,1917-01-02 00:00:00,11,40033001,9999994456,A9994456,3550308
00.000.000,19,10,BANCO DO BRASIL S.A.,Banco do Brasil - Banco Multiplo,19,ILHEUS,R.MARQUES DE PARANAGUA 112,,,CENTRO,45653-000,ILHEUS,BA,1917-03-01 00:00:00,73,36342813,9999994455,A9994455,2913606
00.000.000,20,54,BANCO DO BRASIL S.A.,Banco do Brasil - Banco Multiplo,20,SAO LUIS,AV.GOMES DE CASTRO 46,,2.ANDAR,CENTRO,65020-230,SAO LUIS,MA,1917-04-01 00:00:00,98,32163410,9999994454,A9994454,2111300
00.000.000,21,35,BANCO DO BRASIL S.A.,Banco do Brasil - Banco Multiplo,21,EMPRESA VITORIA,PCA.PIO DOZE 30,,2.ANDAR,CENTRO,29010-340,VITORIA,ES,1917-04-02 00:00:00,27,33312794,9999994453,A9994453,3205309
00.000.000,22,16,BANCO DO BRASIL S.A.,Banco do Brasil - Banco Multiplo,22,EMPRESA NATAL,AV.RIO BRANCO 510,,2.ANDAR,CIDADE ALTA,59025-900,NATAL,RN,1917-04-14 00:00:00,84,40033001,9999994452,A9994452,2408102
00.000.000,23,5,BANCO DO BRASIL S.A.,Banco do Brasil - Banco Multiplo,23,PARNAIBA,PRACA DA GRACA  340,,,CENTRO,64200-906,PARNAIBA,PI,1917-06-01 00:00:00,86,33212925,9999994451,A9994451,2207702
00.000.000,24,88,BANCO DO BRASIL S.A.,Banco do Brasil - Banco Multiplo,24,EMPRESA JUIZ DE FORA,R.HALFELD 770,,CALCADAO,CENTRO,36010-003,JUIZ DE FORA,MG,1918-01-21 00:00:00,32,36905000,9999994450,A9994450,3136702
00.000.000,25,69,BANCO DO BRASIL S.A.,Banco do Brasil - Banco Multiplo,25,CATAGUASES,R.PAULINO FERNANDES 13,,,CENTRO,36770-024,CATAGUASES,MG,1918-05-01 00:00:00,32,34222889,9999994449,A9994449,3115300
00.000.000,26,40,BANCO DO BRASIL S.A.,Banco do Brasil - Banco Multiplo,26,CARANGOLA,R.MAL.DEODORO 250,,,CENTRO,36800-000,CARANGOLA,MG,1918-05-01 00:00:00,32,37411008,9999994448,A9994448,3113305
00.000.000,27,20,BANCO DO BRASIL S.A.,Banco do Brasil - Banco Multiplo,27,JAU,R.AMARAL GURGEL 247,,,CENTRO,17201-010,JAU,SP,1918-10-16 00:00:00,14,40033001,9999994447,A9994447,3525300
00.000.000,28,1,BANCO DO BRASIL S.A.,Banco do Brasil - Banco Multiplo,28,RIBEIRAO PRETO,R.DUQUE DE CAXIAS 725,,,CENTRO,14015-020,RIBEIRAO PRETO,SP,1918-06-26 00:00:00,16,33237660,9999994446,A9994446,3543402
00.000.000,29,92,BANCO DO BRASIL S.A.,Banco do Brasil - Banco Multiplo,29,EMPRESA LITORAL SUL,R.LOBO DA COSTA 1315,,3  4 E 5.ANDAR,CENTRO,96010-150,PELOTAS,RS,1918-07-22 00:00:00,53,33094600,9999994445,A9994445,4314407
00.000.000,30,26,BANCO DO BRASIL S.A.,Banco do Brasil - Banco Multiplo,30,PONTA GROSSA,R.AUGUSTO RIBAS 555,,,CENTRO,84010-300,PONTA GROSSA,PR,1918-08-01 00:00:00,42,32192200,9999994444,A9994444,4119905
00.000.000,31,7,BANCO DO BRASIL S.A.,Banco do Brasil - Banco Multiplo,31,BARRETOS,R.VINTE 554,,,CENTRO,14780-070,BARRETOS,SP,1918-08-01 00:00:00,17,40033001,9999994443,A9994443,3505500
00.000.000,32,98,BANCO DO BRASIL S.A.,Banco do Brasil - Banco Multiplo,32,VARGINHA,PCA.JOSE DE RESENDE PAIVA 18,,,CENTRO,37002-030,VARGINHA,MG,1918-08-09 00:00:00,35,40033001,9999994442,A9994442,3170701
00.000.000,33,79,BANCO DO BRASIL S.A.,Banco do Brasil - Banco Multiplo,33,BELO HORIZONTE,R.RIO DE JANEIRO 750,,,CENTRO,30160-041,BELO HORIZONTE,MG,1918-10-16 00:00:00,31,32173700,9999994441,A9994441,3106200
00.000.000,34,50,BANCO DO BRASIL S.A.,Banco do Brasil - Banco Multiplo,34,BAGE,R.GAL.SAMPAIO 99,,,CENTRO,96400-370,BAGE,RS,1918-11-25 00:00:00,53,32110300,9999994440,A9994440,4301602
00.000.000,35,30,BANCO DO BRASIL S.A.,Banco do Brasil - Banco Multiplo,35,SANTANA LIVRAMENTO,R.DOS ANDRADAS 525,,PREDIO,CENTRO,97573-565,SANTANA DO LIVRAMENTO,RS,1918-12-02 00:00:00,55,40033001,9999994439,A9994439,4317103
00.000.000,36,11,BANCO DO BRASIL S.A.,Banco do Brasil - Banco Multiplo,36,MOSSORO,PCA.VIGARIO ANTONIO JOAQUIM 22,,,CENTRO,59600-520,MOSSORO,RN,1918-12-14 00:00:00,84,33189100,9999994438,A9994438,2408003
00.000.000,37,0,BANCO DO BRASIL S.A.,Banco do Brasil - Banco Multiplo,37,EMPRESA BAURU,R.PRIMEIRO DE AGOSTO 7-63,,,CENTRO,17010-900,BAURU,SP,1918-12-29 00:00:00,14,32331233,9999994437,A9994437,3506003
00.000.000,38,83,BANCO DO BRASIL S.A.,Banco do Brasil - Banco Multiplo,38,JOINVILLE,R.LUIZ NIEMEYER 54,,2.ANDAR,CENTRO,89201-060,JOINVILLE,SC,1919-01-02 00:00:00,47,40033001,9999994436,A9994436,4209102
00.000.000,39,64,BANCO DO BRASIL S.A.,Banco do Brasil - Banco Multiplo,39,CAMOCIM,R.JOSE DE ALENCAR 54,,,CENTRO,62400-000,CAMOCIM,CE,1940-07-08 00:00:00,88,36210104,9999994435,A9994435,2302602
00.000.000,40,6,BANCO DO BRASIL S.A.,Banco do Brasil - Banco Multiplo,40,SAO FELIX,R.J.J.SEABRA 1,,PREDIO,CENTRO,44360-000,SAO FELIX,BA,1919-02-12 00:00:00,75,34252611,9999994434,A9994434,2929008
00.000.000,41,89,BANCO DO BRASIL S.A.,Banco do Brasil - Banco Multiplo,41,FEIRA DE SANTANA,R.CONS.FRANCO 418,,,CENTRO,44002-272,FEIRA DE SANTANA,BA,1919-03-01 00:00:00,75,36029000,9999994433,A9994433,2910800
00.000.000,42,60,BANCO DO BRASIL S.A.,Banco do Brasil - Banco Multiplo,42,CACHOEIRA DO SUL,R.SETE DE SETEMBRO 1279,,,CENTRO,96508-011,CACHOEIRA DO SUL,RS,1919-05-05 00:00:00,51,37226800,9999994432,A9994432,4303004
00.000.000,43,40,BANCO DO BRASIL S.A.,Banco do Brasil - Banco Multiplo,43,IPAMERI,PCA.DA LIBERDADE 1,,,CENTRO,75780-000,IPAMERI,GO,1940-07-02 00:00:00,64,34915316,9999994431,A9994431,5210109
00.000.000,44,21,BANCO DO BRASIL S.A.,Banco do Brasil - Banco Multiplo,44,TERESINA,R.ALVARO MENDES 1313,,TERREO E 2.ANDAR,CENTRO,64000-060,TERESINA,PI,1921-11-03 00:00:00,86,32152101,9999994430,A9994430,2211001
00.000.000,45,2,BANCO DO BRASIL S.A.,Banco do Brasil - Banco Multiplo,45,URUGUAIANA,R.GEN.BENTO MARTINS 2609,,,CENTRO,97501-520,URUGUAIANA,RS,1921-12-05 00:00:00,55,21024100,9999994429,A9994429,4322400
00.000.000,46,93,BANCO DO BRASIL S.A.,Banco do Brasil - Banco Multiplo,46,EMPRESA CUIABA,AV. PRESIDENTE GETULIO VARGAS,1189,2 ANDAR,POPULAR,78005-300,CUIABA,MT,1922-03-15 00:00:00,65,33165800,9999994428,A9994428,5103403
00.000.000,47,74,BANCO DO BRASIL S.A.,Banco do Brasil - Banco Multiplo,1,RIO,R.SEN.DANTAS 105,,TERREO,CENTRO,20031-204,RIO DE JANEIRO,RJ,1936-05-02 00:00:00,21,38083900,9999994427,A9994427,3304557
00.000.000,48,55,BANCO DO BRASIL S.A.,Banco do Brasil - Banco Multiplo,48,AFONSO PENA,AV.AFONSO PENA 2202,,,CENTRO,79002-908,CAMPO GRANDE,MS,1923-03-07 00:00:00,67,33891300,9999994426,A9994426,5002704
00.000.000,49,36,BANCO DO BRASIL S.A.,Banco do Brasil - Banco Multiplo,49,PENEDO,AV.DUQUE DE CAXIAS 137,,,CENTRO,57200-000,PENEDO,AL,1923-03-16 00:00:00,82,35512240,9999994425,A9994425,2706703
00.000.000,50,70,BANCO DO BRASIL S.A.,Banco do Brasil - Banco Multiplo,50,CATANDUVA,R.PERNAMBUCO 145,,,CENTRO,15800-080,CATANDUVA,SP,1923-06-07 00:00:00,17,35223300,9999994424,A9994424,3511102
00.000.000,51,50,BANCO DO BRASIL S.A.,Banco do Brasil - Banco Multiplo,51,MACAE,AV.RUI BARBOSA 904,,,CENTRO,27910-362,MACAE,RJ,1923-06-10 00:00:00,22,40033001,9999994423,A9994423,3302403
00.000.000,52,31,BANCO DO BRASIL S.A.,Banco do Brasil - Banco Multiplo,52,EMPRESA CAMPINAS,R.DR.COSTA AGUIAR 626,,1. 2.E 3.ANDARES,CENTRO,13010-061,CAMPINAS,SP,1923-06-12 00:00:00,19,37333000,9999994422,A9994422,3509502
00.000.000,53,12,BANCO DO BRASIL S.A.,Banco do Brasil - Banco Multiplo,53,FRANCA,R.MAJ.CLAUDIANO 2012,,,CENTRO,14400-690,FRANCA,SP,1923-06-18 00:00:00,16,37136500,9999994421,A9994421,3516200
00.000.000,54,1,BANCO DO BRASIL S.A.,Banco do Brasil - Banco Multiplo,54,BEBEDOURO,PCA.MONS.ARISTIDES S.LEITE 228,,,CENTRO,14700-119,BEBEDOURO,SP,1923-07-16 00:00:00,17,33130076,9999994420,A9994420,3506102
00.000.000,56,65,BANCO DO BRASIL S.A.,Banco do Brasil - Banco Multiplo,56,PIRACICABA,PCA.JOSE BONIFACIO 945,,,CENTRO,13400-340,PIRACICABA,SP,1923-07-16 00:00:00,19,34033500,9999994418,A9994418,3538709
00.000.000,57,46,BANCO DO BRASIL S.A.,Banco do Brasil - Banco Multiplo,57,SAO JOSE RIO PRETO,R.VOL.DE SAO PAULO 2975,,ESQ.C/R.JORGE TIBIRICA,CENTRO,15015-200,SAO JOSE DO RIO PRETO,SP,1923-07-18 00:00:00,17,33545200,9999994417,A9994417,3549805
00.000.000,58,27,BANCO DO BRASIL S.A.,Banco do Brasil - Banco Multiplo,58,LINS,R.VINTE E UM DE ABRIL 140,,,CENTRO,16400-030,LINS,SP,1923-07-20 00:00:00,14,40033001,9999994416,A9994416,3527108
00.000.000,59,8,BANCO DO BRASIL S.A.,Banco do Brasil - Banco Multiplo,59,SANTO AMARO,PCA.BATISTA MARQUES 6,,,CENTRO,44200-000,SANTO AMARO,BA,1923-08-14 00:00:00,75,32172923,9999994415,A9994415,2928604
00.000.000,60,41,BANCO DO BRASIL S.A.,Banco do Brasil - Banco Multiplo,60,JEQUIE,R.DA ITALIA 28,,,CENTRO,45200-191,JEQUIE,BA,1923-09-01 00:00:00,73,40033001,9999994414,A9994414,2918001
00.000.000,61,22,BANCO DO BRASIL S.A.,Banco do Brasil - Banco Multiplo,61,TEOFILO OTONI,R.EPAMINONDAS OTONI 655,,,CENTRO,39800-013,TEOFILO OTONI,MG,1923-10-18 00:00:00,33,40033001,9999994413,A9994413,3168606
00.000.000,62,3,BANCO DO BRASIL S.A.,Banco do Brasil - Banco Multiplo,62,BARBACENA,PCA.DOS ANDRADAS 186,,,CENTRO,36200-008,BARBACENA,MG,1923-10-18 00:00:00,32,33393300,9999994412,A9994412,3105608
00.000.000,63,94,BANCO DO BRASIL S.A.,Banco do Brasil - Banco Multiplo,63,EMPRESA CAMP.GRANDE,R.SETE DE SETEMBRO 52,,4.E 5.ANDARES,CENTRO,58400-105,CAMPINA GRANDE,PB,1923-10-22 00:00:00,83,33102200,9999994411,A9994411,2504009
00.000.000,64,75,BANCO DO BRASIL S.A.,Banco do Brasil - Banco Multiplo,64,GUAXUPE,AV.CONDE RIBEIRO DO VALE 167,,,CENTRO,37800-000,GUAXUPE,MG,1923-11-07 00:00:00,35,35515096,9999994410,A9994410,3128709
00.000.000,65,56,BANCO DO BRASIL S.A.,Banco do Brasil - Banco Multiplo,65,SAO JOAO BOA VISTA,PCA.GOV.ARMANDO S.OLIVEIRA 240,,,CENTRO,13870-909,SAO JOAO DA BOA VISTA,SP,1923-11-21 00:00:00,19,36334455,9999994409,A9994409,3549102
00.000.000,66,37,BANCO DO BRASIL S.A.,Banco do Brasil - Banco Multiplo,66,SAO JOSE RIO PARDO,PRAcA CAPITaO VICENTE DIAS,191,,CENTRO,13720-000,SAO JOSE DO RIO PARDO,SP,1942-04-22 00:00:00,19,36081441,9999994408,A9994408,3549706
00.000.000,67,18,BANCO DO BRASIL S.A.,Banco do Brasil - Banco Multiplo,67,GARANHUNS,AV.SANTO ANTONIO 444/446,,,STO.ANTONIO,55293-905,GARANHUNS,PE,1941-05-26 00:00:00,87,37613611,9999994407,A9994407,2606002
00.000.000,68,7,BANCO DO BRASIL S.A.,Banco do Brasil - Banco Multiplo,68,ARCOVERDE,R.ALCIDES CURSINO 68,,PREDIO,CENTRO,56506-907,ARCOVERDE,PE,1942-03-23 00:00:00,87,38227700,9999994406,A9994406,2601201
00.000.000,69,80,BANCO DO BRASIL S.A.,Banco do Brasil - Banco Multiplo,69,JUAZEIRO,PCA.BARAO DO RIO BRANCO 39,,,CENTRO,48903-901,JUAZEIRO,BA,1941-01-15 00:00:00,74,40033001,9999994405,A9994405,2918407
00.000.000,70,13,BANCO DO BRASIL S.A.,Banco do Brasil - Banco Multiplo,70,ITABUNA,R.PAULINO VIEIRA 155,,TERREO 1.E 2.ANDARES,CENTRO,45600-912,ITABUNA,BA,1927-09-26 00:00:00,73,32144000,9999994404,A9994404,2914802
00.000.000,71,2,BANCO DO BRASIL S.A.,Banco do Brasil - Banco Multiplo,71,EMPRESA RIO BRANCO,R ARLINDO PORTO LEAL NO. 85,,,CENTRO,69900-058,RIO BRANCO,AC,1928-01-25 00:00:00,68,40033001,9999994403,A9994403,1200401
00.000.000,72,85,BANCO DO BRASIL S.A.,Banco do Brasil - Banco Multiplo,72,NITEROI,AV.ERNANI DO AMARAL PEIXOTO 347,,,CENTRO,24020-072,NITEROI,RJ,1928-06-02 00:00:00,21,27299800,9999994402,A9994402,3303302
00.000.000,73,66,BANCO DO BRASIL S.A.,Banco do Brasil - Banco Multiplo,73,BARRA DO PIRAI,R.PAULO DE FRONTIN 4,,,CENTRO,27123-120,BARRA DO PIRAI,RJ,1936-09-14 00:00:00,24,24432300,9999994401,A9994401,3300308
00.000.000,74,47,BANCO DO BRASIL S.A.,Banco do Brasil - Banco Multiplo,74,ITAPERUNA,AV.CARDOSO MOREIRA 785,,,CENTRO,28300-000,ITAPERUNA,RJ,1930-06-04 00:00:00,22,40033001,9999994400,A9994400,3302205
00.000.000,75,28,BANCO DO BRASIL S.A.,Banco do Brasil - Banco Multiplo,1390,MASSARANDUBA,R.ONZE DE NOVEMBRO 2796,,,CENTRO,89108-000,MASSARANDUBA,SC,1982-03-01 00:00:00,47,40033001,9999994399,A9994399,4210605
00.000.000,76,9,BANCO DO BRASIL S.A.,Banco do Brasil - Banco Multiplo,76,TAUBATE,PCA.DOM EPAMINONDAS 84,,,CENTRO,12010-020,TAUBATE,SP,1930-07-19 00:00:00,12,21239750,9999994398,A9994398,3554102
00.000.000,77,90,BANCO DO BRASIL S.A.,Banco do Brasil - Banco Multiplo,77,PIRAJU,PCA.ATALIBA LEONEL 25,,,CENTRO,18800-000,PIRAJU,SP,1940-03-12 00:00:00,14,33513028,9999994397,A9994397,3538808
00.000.000,78,70,BANCO DO BRASIL S.A.,Banco do Brasil - Banco Multiplo,78,PONTA PORA,AV.BRASIL 2623,,,CENTRO,79904-672,PONTA PORA,MS,1940-11-14 00:00:00,67,34311353,9999994396,A9994396,5006606
00.000.000,79,51,BANCO DO BRASIL S.A.,Banco do Brasil - Banco Multiplo,79,BOTUCATU,PCA.EMILIO PEDUTI 17,,,CENTRO,18600-410,BOTUCATU,SP,1930-12-16 00:00:00,14,38821295,9999994395,A9994395,3507506
00.000.000,80,95,BANCO DO BRASIL S.A.,Banco do Brasil - Banco Multiplo,80,PETROPOLIS,R.PAULO BARBOSA 81,,,CENTRO,25629-900,PETROPOLIS,RJ,1932-02-01 00:00:00,24,22372052,9999994394,A9994394,3303906
00.000.000,81,76,BANCO DO BRASIL S.A.,Banco do Brasil - Banco Multiplo,81,NOVA IGUACU,AV.GOV.PORTELA 1274,,,CENTRO,26221-030,NOVA IGUACU,RJ,1933-01-30 00:00:00,21,26676300,9999994393,A9994393,3303500
00.000.000,82,57,BANCO DO BRASIL S.A.,Banco do Brasil - Banco Multiplo,82,ARARAQUARA,R.PE.DUARTE 1355,,,CENTRO,14801-310,ARARAQUARA,SP,1933-02-01 00:00:00,16,33035000,9999994392,A9994392,3503208
00.000.000,83,38,BANCO DO BRASIL S.A.,Banco do Brasil - Banco Multiplo,83,CACHOEIRO ITAPEMIRIM,PCA.JERONIMO MONTEIRO 2,,,CENTRO,29300-902,CACHOEIRO DE ITAPEMIRIM,ES,1933-03-17 00:00:00,28,21019200,9999994391,A9994391,3201209
00.000.000,85,8,BANCO DO BRASIL S.A.,Banco do Brasil - Banco Multiplo,85,SOBRAL,R.CEL.JOSE SABOIA 333,,,CENTRO,62011-040,SOBRAL,CE,1934-05-02 00:00:00,88,36779600,9999994389,A9994389,2312908
00.000.000,86,80,BANCO DO BRASIL S.A.,Banco do Brasil - Banco Multiplo,86,SETOR PUBLICO GO,AV.GOIAS 980,,3.ANDAR,CENTRO,74010-010,GOIANIA,GO,1938-01-03 00:00:00,62,32165036,9999994388,A9994388,5208707
00.000.000,87,61,BANCO DO BRASIL S.A.,Banco do Brasil - Banco Multiplo,87,CATETE,R.DO CATETE 244,,TERREO E 1.ANDAR,CATETE,22220-001,RIO DE JANEIRO,RJ,1935-07-27 00:00:00,21,25554500,9999994387,A9994387,3304557
00.000.000,88,42,BANCO DO BRASIL S.A.,Banco do Brasil - Banco Multiplo,88,PONTE NOVA,R.JOAO PINHEIRO 29,,,CENTRO,35430-020,PONTE NOVA,MG,1939-04-01 00:00:00,31,40033001,9999994386,A9994386,3152105
00.000.000,89,23,BANCO DO BRASIL S.A.,Banco do Brasil - Banco Multiplo,89,CAXIAS DO SUL,R.MARQUES DO HERVAL 1354,,ED.SATELITE,CENTRO,95020-260,CAXIAS DO SUL,RS,1936-03-10 00:00:00,54,32202500,9999994385,A9994385,4305108
00.000.000,90,67,BANCO DO BRASIL S.A.,Banco do Brasil - Banco Multiplo,90,ARAGUARI,R.RODOLFO PAIXAO 189,,,CENTRO,38440-122,ARAGUARI,MG,1939-04-22 00:00:00,34,32498484,9999994384,A9994384,3103504
00.000.000,91,48,BANCO DO BRASIL S.A.,Banco do Brasil - Banco Multiplo,91,MADUREIRA,R.DAGMAR DA FONSECA 192,,TERREO E SOBRELOJA,MADUREIRA,21351-040,RIO DE JANEIRO,RJ,1936-04-30 00:00:00,21,33904590,9999994383,A9994383,3304557
00.000.000,92,29,BANCO DO BRASIL S.A.,Banco do Brasil - Banco Multiplo,92,EMPRESA PASSO FUNDO,R.BENTO GONCALVES 516,,4.E 5.ANDARES,CENTRO,99010-010,PASSO FUNDO,RS,1939-05-13 00:00:00,54,33166100,9999994382,A9994382,4314100
